[Data Type-Log Data],,,
[Save Time-2001/01/15 16:30:00],,,
Date,CO [ppm]  ,CO2[vol%] ,O2 [vol%] 
,Conc.,Conc.,Conc.
9:07:52,0.5,0.04,21.04
9:07:53,0.5,0.04,21.05
9:07:54,0.5,0.04,21.05
9:07:55,0.5,0.04,21.04
9:07:56,0.5,0.04,21.03
9:07:57,0.5,0.04,21.02
9:07:58,0.5,0.04,21.02
9:07:59,0.4,0.04,21.03
9:08:00,0.5,0.03,21.04
9:08:01,0.5,0.03,21.04
9:08:02,0.5,0.03,21.04
9:08:03,0.4,0.03,21.03
9:08:04,0.4,0.03,21.02
9:08:05,0.4,0.03,21.03
9:08:06,0.4,0.03,21.04
9:08:07,0.3,0.03,21.05
9:08:08,0.3,0.03,21.05
9:08:09,0.3,0.03,21.04
9:08:10,0.4,0.03,21.03
9:08:11,0.3,0.03,21.02
9:08:12,0.4,0.03,21.02
9:08:13,0.4,0.03,21.04
9:08:14,0.5,0.03,21.05
9:08:15,0.5,0.03,21.05
9:08:16,0.5,0.03,21.04
9:08:17,0.4,0.03,21.03
9:08:18,0.4,0.03,21.03
9:08:19,0.5,0.03,21.03
9:08:20,0.4,0.03,21.04
9:08:21,0.5,0.03,21.05
9:08:22,0.3,0.03,21.05
9:08:23,0.3,0.03,21.04
9:08:24,0.3,0.03,21.03
9:08:25,0.4,0.03,21.03
9:08:26,0.5,0.03,21.04
9:08:27,0.5,0.03,21.05
9:08:28,0.5,0.03,21.05
9:08:29,0.5,0.03,21.04
9:08:30,0.5,0.03,21.04
9:08:31,0.5,0.03,21.03
9:08:32,0.5,0.03,21.03
9:08:33,0.5,0.03,21.04
9:08:34,0.5,0.03,21.04
9:08:35,0.5,0.03,21.05
9:08:36,0.5,0.03,21.04
9:08:37,0.5,0.03,21.03
9:08:38,0.5,0.03,21.03
9:08:39,0.5,0.03,21.03
9:08:40,0.5,0.03,21.04
9:08:41,0.5,0.03,21.05
9:08:42,0.5,0.03,21.05
9:08:43,0.5,0.03,21.04
9:08:44,0.5,0.03,21.03
9:08:45,0.5,0.03,21.03
9:08:46,0.5,0.03,21.03
9:08:47,0.5,0.03,21.04
9:08:48,0.5,0.03,21.05
9:08:49,0.5,0.03,21.05
9:08:50,0.5,0.03,21.04
9:08:51,0.5,0.03,21.03
9:08:52,0.5,0.03,21.03
9:08:53,0.5,0.03,21.03
9:08:54,0.5,0.03,21.04
9:08:55,0.5,0.03,21.05
9:08:56,0.5,0.04,21.05
9:08:57,0.5,0.04,21.05
9:08:58,0.5,0.03,21.04
9:08:59,0.5,0.03,21.03
9:09:00,0.5,0.03,21.03
9:09:01,0.3,0.03,21.04
9:09:02,0.3,0.03,21.04
9:09:03,0.3,0.03,21.05
9:09:04,0.3,0.03,21.05
