Serial Number,Variant,Software Version
1405A248872110,Dichot,1.74

time_stamp;tmoAmbientPressure_0;tmoAmbientRH_0;tmoAmbientTemp_0;tmoDichotMC1Hr_0;tmoDichotMC24Hr_0;tmoDichotMC30MinStd_0;tmoStatusCondition_0;tmoTEOMAMC1Hr_0;tmoTEOMAMC24Hr_0;tmoTEOMAMC30Min_0;tmoTEOMBMC_0;tmoTEOMBMC1Hr_0;tmoTEOMBMC24Hr_0;tmoTEOMBMC30Min_0;
28 - Jun - 2022 01:00:00;0,988;45,718;28,89;0;0;;0;0;0;;;0;0;;
28 - Jun - 2022 02:00:01;0,988;52,261;31,05;0;0;;0;0;0;;;0;0;;
28 - Jun - 2022 03:00:01;0,988;66,028;32,529;0;0;;0;0;0;;;0;0;;
28 - Jun - 2022 04:00:01;0,987;66,093;32,569;38,924;0;;0;0;0;;;38,924;0;;
28 - Jun - 2022 05:00:00;0,986;63,049;32,828;70,7848;0;;0;40,6472;0;;;30,1375;0;;
28 - Jun - 2022 06:00:01;0,986;62,616;32,768;42,2415;0;;0;34,5202;0;;;7,72124;0;;
28 - Jun - 2022 07:00:01;0,986;62,107;32,788;40,6798;0;;0;34,7632;0;;;5,91654;0;;
28 - Jun - 2022 08:00:00;0,984;62,379;32,788;39,2553;0;;0;33,8843;0;;;5,37096;0;;
28 - Jun - 2022 09:00:00;0,987;64,657;32,808;73,0127;0;;0;59,2489;0;;;13,7638;0;;
28 - Jun - 2022 10:00:00;0,989;66,027;32,858;80,96;0;;0;71,3882;0;;;9,57178;0;;
28 - Jun - 2022 11:00:00;0,989;66,546;32,798;68,6664;0;;0;60,7815;0;;;7,88488;0;;
28 - Jun - 2022 12:00:00;0,988;66,654;32,748;50,891;0;;0;41,6353;0;;;9,25573;0;;
28 - Jun - 2022 13:00:00;0,989;65,831;32,748;50,891;0;;0;41,6353;0;;;9,25573;0;;
28 - Jun - 2022 14:00:01;0,987;66,063;32,729;40,0613;0;;0;28,6742;0;;;11,3871;0;;
28 - Jun - 2022 15:00:01;0,984;66,556;32,689;37,6921;0;;0;26,3384;0;;;11,3537;0;;
28 - Jun - 2022 16:00:00;0,986;66,568;32,758;30,4529;0;;0;20,8574;0;;;9,59544;0;;
28 - Jun - 2022 17:00:01;0,984;67,086;32,709;34,6374;0;;0;22,6608;0;;;11,9766;0;;
28 - Jun - 2022 18:00:00;0,986;67,787;32,709;39,1486;0;;0;26,3904;0;;;12,7582;0;;
28 - Jun - 2022 19:00:00;0,986;68,275;32,679;37,4409;0;;0;27,7395;0;;;9,70146;0;;
28 - Jun - 2022 20:00:01;0,987;67,972;32,589;36,7006;0;;0;27,6598;0;;;9,04082;0;;
28 - Jun - 2022 21:00:00;0,986;62,091;32,509;44,9462;0;;0;33,8974;0;;;11,0488;0;;
28 - Jun - 2022 22:00:00;0,987;61,809;32,449;49,6616;0;;0;38,6282;0;;;11,0333;0;;
28 - Jun - 2022 23:00:01;0,988;62,154;32,529;58,5895;0;;0;43,4516;0;;;15,138;0;;
29 - Jun - 2022 00:00:01;0,988;63,057;32,529;52,3868;0;;0;42,9337;0;;;9,45307;0;;
29 - Jun - 2022 01:00:01;0,989;63,197;32,649;57,0084;0;;0;49,2223;0;;;7,78603;0;;
29 - Jun - 2022 02:00:00;0,987;63,194;32,808;57,6575;0;;0;51,7378;0;;;5,91976;0;;
29 - Jun - 2022 03:00:00;0,987;63,572;32,918;54,9206;11,6684;;0;50,0868;0;;;4,83383;11,6684;;
29 - Jun - 2022 04:00:00;0,986;64,473;32,948;54,7498;49,7056;;0;50,1733;39,4683;;;4,57658;10,2373;;
29 - Jun - 2022 05:00:01;0,986;63,352;33,388;58,4436;49,1913;;0;51,4552;39,9186;;;6,98835;9,27271;;
29 - Jun - 2022 06:00:01;0,985;62,037;33,637;54,2699;49,6925;;0;48,3565;40,4951;;;5,91344;9,19738;;
29 - Jun - 2022 07:00:01;0,986;61,262;33,727;51,8465;50,1578;;0;46,4252;40,9811;;;5,42133;9,17675;;
29 - Jun - 2022 08:00:01;0,987;60,994;33,767;56,2115;50,8643;;0;49,4127;41,6281;;;6,7988;9,23624;;
29 - Jun - 2022 09:00:01;0,986;61,209;33,777;58,2293;50,2483;;0;51,3497;41,2989;;;6,87963;8,9494;;
29 - Jun - 2022 10:00:01;0,987;60,881;33,827;58,1107;49,2963;;0;51,8793;40,4861;;;6,23135;8,81022;;
29 - Jun - 2022 11:00:00;0,989;61,039;33,857;65,3969;49,1601;;0;59,7375;40,4426;;;5,65942;8,71749;;
29 - Jun - 2022 12:00:00;0,987;61,464;33,857;72,3538;50,0543;;0;66,2828;41,4695;;;6,07099;8,58479;;
29 - Jun - 2022 13:00:01;0,988;61,857;33,837;80,963;51,745;;0;72,7747;43,2552;;;8,18834;8,48976;;
29 - Jun - 2022 14:00:01;0,987;62,556;33,847;80,1255;53,4143;;0;73,1986;45,1104;;;6,92686;8,30392;;
29 - Jun - 2022 15:00:01;0,988;62,223;33,847;70,6371;54,787;;0;64,0596;46,6821;;;6,57747;8,10491;;
29 - Jun - 2022 16:00:01;0,987;60,561;33,737;33,2564;54,9038;;0;28,8311;47,0144;;;4,42533;7,88949;;
29 - Jun - 2022 17:00:00;0,989;60,202;33,597;14,3;54,0565;;0;11,4825;46,5486;;;2,81745;7,50786;;
29 - Jun - 2022 18:00:00;0,989;59,981;33,557;9,05889;52,8027;;0;6,6973;45,728;;;2,36159;7,07467;;
29 - Jun - 2022 19:00:01;0,988;60,187;33,508;10,984;51,7003;;0;8,51895;44,9272;;;2,465;6,77315;;
29 - Jun - 2022 20:00:01;0,989;60,519;33,478;15,7129;50,8258;;0;11,3506;44,2476;;;4,36223;6,57821;;
29 - Jun - 2022 21:00:00;0,991;60,527;33,528;16,3028;49,6324;;0;12,6523;43,3624;;;3,65054;6,26995;;
29 - Jun - 2022 22:00:00;0,989;60,442;33,567;15,86;48,224;;0;11,4747;42,231;;;4,38524;5,99294;;
